depth,SeqCount,strictly_CD4,strictly_CD8,both,expected_n4,pc_4_fixed_n4
2,114,89,4,21,110,0.8994948077064754
3,56,31,0,25,54,0.831105158706441
4,22,10,0,12,21,0.8307018474412792
5,20,10,0,10,19,0.8795272100137584
6,9,4,0,5,9,0.8735804647362989
7,12,3,0,9,12,0.820335356007638
8,5,1,0,4,5,0.8177654339579425
9,3,1,0,2,3,0.8850881520714602
10,8,2,0,6,8,0.8705505632961241
11,3,0,0,3,3,0
12,0,0,0,0,0,NA
13,5,1,0,4,5,0.8835539577712372
14,3,0,0,3,3,0
15,2,0,0,2,2,0
16,0,0,0,0,0,NA
17,1,0,0,1,1,0
18,1,0,0,1,1,0
19,1,0,0,1,1,0
20,2,0,0,2,2,0
21,0,0,0,0,0,NA
22,0,0,0,0,0,NA
23,0,0,0,0,0,NA
24,0,0,0,0,0,NA
25,0,0,0,0,0,NA
26,0,0,0,0,0,NA
27,0,0,0,0,0,NA
28,0,0,0,0,0,NA
29,0,0,0,0,0,NA
30,0,0,0,0,0,NA
31,1,0,0,1,1,0
