n4,value,method
337,1.0,cd4-cd4
337,1.0,cd4-cd4
337,0.9302626105675852,cd4-cd8
337,0.9302626105675852,cd4-cd8
338,0.9973338534581291,cd4-cd4
338,0.9973338534581291,cd4-cd4
338,0.9298854343861794,cd4-cd8
338,0.9298854343861794,cd4-cd8
339,0.9946771202482855,cd4-cd4
339,0.9946771202482855,cd4-cd4
339,0.9295052557962917,cd4-cd8
339,0.9295052557962917,cd4-cd8
340,0.9920304647968405,cd4-cd4
340,0.9920304647968405,cd4-cd4
340,0.9291220550700438,cd4-cd8
340,0.9291220550700438,cd4-cd8
341,0.9893945173868043,cd4-cd4
341,0.9893945173868043,cd4-cd4
341,0.928735812647566,cd4-cd8
341,0.928735812647566,cd4-cd8
342,0.986769874511436,cd4-cd4
342,0.986769874511436,cd4-cd4
342,0.928346509149108,cd4-cd8
342,0.928346509149108,cd4-cd8
343,0.984157099334768,cd4-cd4
343,0.984157099334768,cd4-cd4
343,0.9279541253874228,cd4-cd8
343,0.9279541253874228,cd4-cd8
344,0.9815567222472839,cd4-cd4
344,0.9815567222472839,cd4-cd4
344,0.9275586423804233,cd4-cd8
344,0.9275586423804233,cd4-cd8
345,0.9789692415053803,cd4-cd4
345,0.9789692415053803,cd4-cd4
345,0.9271600413641065,cd4-cd8
345,0.9271600413641065,cd4-cd8
346,0.9763951239437058,cd4-cd4
346,0.9763951239437058,cd4-cd4
346,0.9267583038057444,cd4-cd8
346,0.9267583038057444,cd4-cd8
347,0.9738348057499985,cd4-cd4
347,0.9738348057499985,cd4-cd4
347,0.9263534114173348,cd4-cd8
347,0.9263534114173348,cd4-cd8
348,0.9712886932926353,cd4-cd4
348,0.9712886932926353,cd4-cd4
348,0.9259453461693099,cd4-cd8
348,0.9259453461693099,cd4-cd8
349,0.9687571639917075,cd4-cd4
349,0.9687571639917075,cd4-cd4
349,0.9255340903044954,cd4-cd8
349,0.9255340903044954,cd4-cd8
350,0.9662405672250831,cd4-cd4
350,0.9662405672250831,cd4-cd4
350,0.9251196263523166,cd4-cd8
350,0.9251196263523166,cd4-cd8
351,0.9637392252615583,cd4-cd4
351,0.9637392252615583,cd4-cd4
351,0.9247019371432429,cd4-cd8
351,0.9247019371432429,cd4-cd8
352,0.9612534342138465,cd4-cd4
352,0.9612534342138465,cd4-cd4
352,0.9242810058234644,cd4-cd8
352,0.9242810058234644,cd4-cd8
353,0.9587834650047907,cd4-cd4
353,0.9587834650047907,cd4-cd4
353,0.9238568158697932,cd4-cd8
353,0.9238568158697932,cd4-cd8
354,0.9563295643408106,cd4-cd4
354,0.9563295643408106,cd4-cd4
354,0.9234293511047803,cd4-cd8
354,0.9234293511047803,cd4-cd8
355,0.953891955687191,cd4-cd4
355,0.953891955687191,cd4-cd4
355,0.9229985957120387,cd4-cd8
355,0.9229985957120387,cd4-cd8
356,0.9514708402404013,cd4-cd4
356,0.9514708402404013,cd4-cd4
356,0.9225645342517637,cd4-cd8
356,0.9225645342517637,cd4-cd8
357,0.9490663978931807,cd4-cd4
357,0.9490663978931807,cd4-cd4
357,0.9221271516764378,cd4-cd8
357,0.9221271516764378,cd4-cd8
358,0.9466787881886384,cd4-cd4
358,0.9466787881886384,cd4-cd4
358,0.9216864333467113,cd4-cd8
358,0.9216864333467113,cd4-cd8
359,0.9443081512601085,cd4-cd4
359,0.9443081512601085,cd4-cd4
359,0.921242365047444,cd4-cd8
359,0.921242365047444,cd4-cd8
360,0.941954608753945,cd4-cd4
360,0.941954608753945,cd4-cd4
360,0.9207949330038951,cd4-cd8
360,0.9207949330038951,cd4-cd8
361,0.939618264732864,cd4-cd4
361,0.939618264732864,cd4-cd4
361,0.92034412389805,cd4-cd8
361,0.92034412389805,cd4-cd8
362,0.9372992065578223,cd4-cd4
362,0.9372992065578223,cd4-cd4
362,0.9198899248850656,cd4-cd8
