n4,value,method
89,1.0,cd4-cd4
89,1.0,cd4-cd4
89,0.8715217653405339,cd4-cd8
89,0.8715217653405339,cd4-cd8
90,0.9887634091564972,cd4-cd4
90,0.9887634091564972,cd4-cd4
90,0.869546672201185,cd4-cd8
90,0.869546672201185,cd4-cd8
91,0.9775701296627854,cd4-cd4
91,0.9775701296627854,cd4-cd4
91,0.8675384022049277,cd4-cd8
91,0.8675384022049277,cd4-cd8
92,0.9664823403219118,cd4-cd4
92,0.9664823403219118,cd4-cd4
92,0.865497326916504,cd4-cd8
92,0.865497326916504,cd4-cd8
93,0.9555546135672449,cd4-cd4
93,0.9555546135672449,cd4-cd4
93,0.8634239022349012,cd4-cd8
93,0.8634239022349012,cd4-cd8
94,0.944832902218895,cd4-cd4
94,0.944832902218895,cd4-cd4
94,0.8613186705982203,cd4-cd8
94,0.8613186705982203,cd4-cd8
95,0.9343542561841987,cd4-cd4
95,0.9343542561841987,cd4-cd4
95,0.8591822626422678,cd4-cd8
95,0.8591822626422678,cd4-cd8
96,0.9241471216982793,cd4-cd4
96,0.9241471216982793,cd4-cd4
96,0.8570153982533867,cd4-cd8
96,0.8570153982533867,cd4-cd8
97,0.9142320465006902,cd4-cd4
97,0.9142320465006902,cd4-cd4
97,0.8548188869618688,cd4-cd8
97,0.8548188869618688,cd4-cd8
98,0.9046226222499946,cd4-cd4
98,0.9046226222499946,cd4-cd4
98,0.8525936276299219,cd4-cd8
98,0.8525936276299219,cd4-cd8
99,0.8953265250352446,cd4-cd4
99,0.8953265250352446,cd4-cd4
99,0.8503406073975553,cd4-cd8
99,0.8503406073975553,cd4-cd8
100,0.8863465522395049,cd4-cd4
100,0.8863465522395049,cd4-cd4
100,0.8480608998607461,cd4-cd8
100,0.8480608998607461,cd4-cd8
101,0.8776815898602274,cd4-cd4
101,0.8776815898602274,cd4-cd4
101,0.8457556624686433,cd4-cd8
101,0.8457556624686433,cd4-cd8
102,0.869327473866167,cd4-cd4
102,0.869327473866167,cd4-cd4
102,0.8434261331400705,cd4-cd8
102,0.8434261331400705,cd4-cd8
103,0.8612777308375339,cd4-cd4
103,0.8612777308375339,cd4-cd4
103,0.8410736261138295,cd4-cd8
103,0.8410736261138295,cd4-cd8
104,0.8535241975533353,cd4-cd4
104,0.8535241975533353,cd4-cd4
104,0.8386995270618821,cd4-cd8
104,0.8386995270618821,cd4-cd8
105,0.8460575277866936,cd4-cd4
105,0.8460575277866936,cd4-cd4
105,0.8363052875089387,cd4-cd8
105,0.8363052875089387,cd4-cd8
106,0.8388675989407051,cd4-cd4
106,0.8388675989407051,cd4-cd4
106,0.8338924186158378,cd4-cd8
106,0.8338924186158378,cd4-cd8
107,0.8319438327103775,cd4-cd4
107,0.8319438327103775,cd4-cd4
107,0.8158796710714207,cd8-cd8
107,0.8158796710714207,cd8-cd8
107,0.8314624843968912,cd4-cd8
107,0.8314624843968912,cd4-cd8
108,0.8252754437821641,cd4-cd4
108,0.8252754437821641,cd4-cd4
108,0.8943480877421727,cd8-cd8
108,0.8943480877421727,cd8-cd8
108,0.8290170944526696,cd4-cd8
108,0.8290170944526696,cd4-cd8
109,0.818851629458635,cd4-cd4
109,0.818851629458635,cd4-cd4
109,0.947767884041941,cd8-cd8
109,0.947767884041941,cd8-cd8
109,0.8265578963091075,cd4-cd8
109,0.8265578963091075,cd4-cd8
110,0.8126617115367455,cd4-cd4
110,0.8126617115367455,cd4-cd4
110,1.0,cd8-cd8
110,1.0,cd8-cd8
110,0.824086567461012,cd4-cd8
110,0.824086567461012,cd4-cd8
111,0.8066952400924269,cd4-cd4
111,0.8066952400924269,cd4-cd4
111,0.8216048072228387,cd4-cd8
111,0.8216048072228387,cd4-cd8
112,0.8009420672134321,cd4-cd4
112,0.8009420672134321,cd4-cd4
112,0.8191143284918091,cd4-cd8
112,0.8191143284918091,cd4-cd8
113,0.7953923972683572,cd4-cd4
113,0.7953923972683572,cd4-cd4
113,0.8166168495280776,cd4-cd8
113,0.8166168495280776,cd4-cd8
114,0.7900368190387459,cd4-cd4
114,0.7900368190387459,cd4-cd4
114,0.664258143687334,cd8-cd8
114,0.8141140858537752,cd4-cd8
114,0.8141140858537752,cd4-cd8
