depth,SeqCount,CD4_only,CD8_only,CD8_1_mix,both,expected_n4,pc_4_fixed_n4,coeff,Pc_4_coeff_added
2,114,89,4,21,2,110,0.8994948077064754,0.45161290322580644,0.6128952921435648
3,56,31,0,17,3,54,0.831105158706441,0.29588431590656283,0.558820369896135
4,22,10,0,6,4,21,0.8307018474412792,0.19021134593993325,0.550913865447866
5,20,10,0,5,5,19,0.8795272100137584,0.11976269929551353,0.5767167043873421
6,9,4,0,2,6,9,0.8735804647362989,0.07370012264339294,0.5716555983847399
7,12,3,0,2,7,12,0.820335356007638,0.04422007358603577,0.5302004324342062
8,5,1,0,1,8,5,0.8177654339579425,0.02579504292518753,0.5218082191672396
9,3,1,0,0,9,3,0.8850881520714602,0.01457980687075817,0.557207358821077
10,8,2,0,2,10,8,0.8705505632961241,0.007952621929504456,0.5402529436427344
11,3,0,0,0,11,3,0,0.004165659105930906,0
12,0,0,0,0,12,0,NA,0.002082829552965453,NA
13,5,1,0,2,13,5,0.8835539577712372,9.866034724573198e-4,0.5213510893279888
14,3,0,0,0,14,3,0,4.384904322032532e-4,0
15,2,0,0,0,15,2,0,1.805548838483984e-4,0
16,0,0,0,0,16,0,NA,6.77080814431494e-5,NA
17,1,0,0,0,17,1,0,2.25693604810498e-5,0
18,1,0,0,0,18,1,0,6.448388708871371e-6,0
19,1,0,0,0,19,1,0,1.4880897020472394e-6,0
20,2,0,0,0,20,2,0,2.4801495034120654e-7,0
21,0,0,0,0,21,0,NA,2.2546813667382414e-8,NA
22,0,0,0,0,22,0,NA,0,NA
23,0,0,0,0,23,0,NA,0,NA
24,0,0,0,0,24,0,NA,0,NA
25,0,0,0,0,25,0,NA,0,NA
26,0,0,0,0,26,0,NA,0,NA
27,0,0,0,0,27,0,NA,0,NA
28,0,0,0,0,28,0,NA,0,NA
29,0,0,0,0,29,0,NA,0,NA
30,0,0,0,0,30,0,NA,0,NA
31,1,0,0,0,31,1,0,0,0
