sim_id,true_Pc,true_n4,fitted_Pc,fitted_n4,cd4_cd4,cd8_cd8,error_Pc,error_n4,error_cd4_cd4
0,0.9,372,0.9107641116875241,367.15058346859183,331,13,0.010764111687524114,4.849416531408167,6
1,0.9,372,0.8803665824281117,376.0166391397787,326,7,0.0196334175718883,4.016639139778704,11
2,0.9,372,0.9020244499647885,379.4326400250241,338,5,0.002024449964788455,7.432640025024114,1
3,0.9,372,0.9099446672985299,373.2740003350815,336,9,0.00994466729852983,1.274000335081496,1
4,0.9,372,0.8880803049416267,370.93208567699503,325,10,0.011919695058373314,1.0679143230049704,12
5,0.9,372,0.9063851841965124,366.8804492515349,329,13,0.00638518419651235,5.1195507484650875,8
6,0.9,372,0.88978792064667,376.0787225644752,330,7,0.010212079353330017,4.078722564475186,7
7,0.9,372,0.8985859884977424,372.92262641935446,331,9,0.0014140115022576172,0.922626419354458,6
8,0.9,372,0.8991171668544709,376.18636235245475,334,7,0.0008828331455291716,4.186362352454751,3
9,0.9,372,0.9159034044939415,370.4739367017802,336,11,0.015903404493941453,1.5260632982198103,1
10,0.9,372,0.9247196020099516,370.9132851672284,340,11,0.024719602009951602,1.0867148327715768,3
11,0.9,372,0.8827310791728714,376.02746345525486,327,7,0.01726892082712861,4.0274634552548605,10
12,0.9,372,0.8767245643436496,374.20234203834735,323,8,0.023275435656350374,2.2023420383473535,14
13,0.9,372,0.9092496368061103,370.15396653608406,333,11,0.00924963680611024,1.8460334639159441,4
14,0.9,372,0.8922322702763681,367.7149618912297,324,12,0.007767729723631933,4.285038108770323,13
15,0.9,372,0.8871010999971801,372.6190533809777,326,9,0.012898900002819902,0.6190533809776753,11
16,0.9,372,0.8944634688442292,376.1273105106981,332,7,0.005536531155770796,4.127310510698123,5
17,0.9,372,0.9107641116875241,367.15058346859183,331,13,0.010764111687524114,4.849416531408167,6
18,0.9,372,0.9078066065841779,368.5268839890654,331,12,0.0078066065841778665,3.473116010934575,6
19,0.9,372,0.902895051213967,377.8372563382085,337,6,0.002895051213966937,5.837256338208476,0
20,0.9,372,0.8756183021511214,376.0051906848911,324,7,0.02438169784887867,4.00519068489109,13
21,0.9,372,0.9008673066919042,372.989420704665,332,9,0.0008673066919041572,0.9894207046650081,5
22,0.9,372,0.9382466039080165,364.86366957838567,340,16,0.038246603908016485,7.136330421614332,3
23,0.9,372,0.9114395596084099,374.8562853469172,338,8,0.011439559608409922,2.8562853469172182,1
24,0.9,372,0.8822135991920125,368.99144747656555,321,11,0.017786400807987546,3.008552523434446,16
25,0.9,372,0.9174155137521328,372.03829735337894,338,10,0.017415513752132794,0.038297353378936805,1
26,0.9,372,0.884787505678455,372.5650874090126,325,9,0.015212494321545034,0.5650874090126194,12
27,0.9,372,0.8636820541353494,372.20597589424636,316,9,0.03631794586465065,0.20597589424636453,21
28,0.9,372,0.8814268152936625,374.25623421375155,325,8,0.01857318470633751,2.2562342137515543,12
29,0.9,372,0.9225211902235851,370.80224241437656,339,11,0.02252119022358512,1.1977575856234353,2
30,0.9,372,0.9039752055278643,371.4960511682302,332,10,0.003975205527864234,0.503948831769776,5
31,0.9,372,0.892647550721195,371.0842589775083,327,10,0.007352449278805073,0.9157410224917157,10
32,0.9,372,0.9099446672985299,373.2740003350815,336,9,0.00994466729852983,1.274000335081496,1
33,0.9,372,0.9017194989027632,371.41043826778326,331,10,0.001719498902763128,0.5895617322167368,6
34,0.9,372,0.8811872878052429,370.71951656219363,322,10,0.01881271219475711,1.2804834378063674,15
35,0.9,372,0.8935675374225263,369.4488614607942,326,11,0.006432462577473763,2.5511385392057946,11
36,0.9,372,0.9008673066919042,372.989420704665,332,9,0.0008673066919041572,0.9894207046650081,5
37,0.9,372,0.8805983299281572,379.56100756337594,329,5,0.01940167007184279,7.561007563375938,8
38,0.9,372,0.8967929787786678,376.15558233480147,333,7,0.003207021221332207,4.1555823348014655,4
39,0.9,372,0.8730260569438242,368.6614855691415,317,11,0.026973943056175842,3.3385144308584813,20
40,0.9,372,0.9247196020099516,370.9132851672284,340,11,0.024719602009951602,1.0867148327715768,3
41,0.9,372,0.9262943908034941,372.4223631321703,342,10,0.02629439080349405,0.42236313217028965,5
42,0.9,372,0.8907581966202998,374.3986791690301,329,8,0.009241803379700264,2.3986791690301175,8
43,0.9,372,0.8801425480635842,372.46474021684605,323,9,0.01985745193641586,0.46474021684605304,14
44,0.9,372,0.9078066065841779,368.5268839890654,331,12,0.0078066065841778665,3.473116010934575,6
45,0.9,372,0.9025569739351731,369.8438855195315,330,11,0.002556973935173068,2.1561144804684886,7
46,0.9,372,0.9345756732481614,368.67364172422265,342,13,0.034575673248161354,3.326358275777352,5
47,0.9,372,0.8732341835435621,376.00485572564185,323,7,0.02676581645643794,4.004855725641846,14
48,0.9,372,0.8754728794370267,372.3752765602144,321,9,0.024527120562973348,0.37527656021438816,16
49,0.9,372,0.8857883938442196,370.8590398318202,324,10,0.014211606155780432,1.140960168179788,13
50,0.9,372,0.8949231586809215,371.1632030869623,328,10,0.0050768413190784845,0.8367969130376878,9
51,0.9,372,0.9047923704464225,369.94604384046994,331,11,0.004792370446422445,2.0539561595300597,6
52,0.9,372,0.9062262458850361,371.5831389222877,333,10,0.006226245885036064,0.4168610777123263,4
53,0.9,372,0.9014361698071524,376.219547933454,335,7,0.0014361698071523321,4.21954793345401,2
54,0.9,372,0.9144562869805398,373.42566005393184,338,9,0.014456286980539801,1.4256600539318356,1
55,0.9,372,0.9092496368061103,370.15396653608406,333,11,0.00924963680611024,1.8460334639159441,4
56,0.9,372,0.9,374.58125,333,8,0.0,2.5812500000000114,4
57,0.9,372,0.9037501213442571,376.2550403397147,336,7,0.003750121344257118,4.2550403397146965,1
58,0.9,372,0.8949231586809215,371.1632030869623,328,10,0.0050768413190784845,0.8367969130376878,9
59,0.9,372,0.9033801150792876,368.2893632860025,329,12,0.0033801150792875934,3.7106367139974736,8
60,0.9,372,0.9037501213442571,376.2550403397147,336,7,0.003750121344257118,4.2550403397146965,1
61,0.9,372,0.8994590050599185,371.32637420463794,330,10,0.0005409949400815295,0.6736257953620566,7
62,0.9,372,0.8944716424691752,367.82736310331063,325,12,0.005528357530824812,4.172636896689369,12
63,0.9,372,0.9122158111960287,368.7681111770708,333,12,0.012215811196028659,3.231888822929193,4
64,0.9,372,0.9307119258843084,372.6198178456631,344,10,0.030711925884308378,0.6198178456630785,7
65,0.9,372,0.9166085906099811,369.0126079965705,335,12,0.0166085906099811,2.987392003429477,2
66,0.9,372,0.8911630499637428,377.77784835054706,332,6,0.008836950036257174,5.77784835054706,5
67,0.9,372,0.8921284971767061,376.1016535906287,331,7,0.007871502823293963,4.1016535906287,6
68,0.9,372,0.9047923704464225,369.94604384046994,331,11,0.004792370446422445,2.0539561595300597,6
69,0.9,372,0.9045900778972675,374.6855566202575,335,8,0.004590077897267508,2.6855566202575005,2
70,0.9,372,0.8913075978918918,369.3538755237349,325,11,0.008692402108108177,2.646124476265072,12
71,0.9,372,0.9259662254743107,368.11426825147294,338,13,0.02596622547431071,3.885731748527064,1
72,0.9,372,0.8980720688485982,369.6435088153783,328,11,0.0019279311514017738,2.3564911846216887,9
73,0.9,372,0.8756183021511214,376.0051906848911,324,7,0.02438169784887867,4.00519068489109,13
74,0.9,372,0.9203190868519733,370.6919700207467,338,11,0.020319086851973256,1.3080299792533197,1
75,0.9,372,0.8903666444980404,371.0071898911064,326,10,0.00963335550195965,0.9928101088935932,11
76,0.9,372,0.9039752055278643,371.4960511682302,332,10,0.003975205527864234,0.503948831769776,5
77,0.9,372,0.892647550721195,371.0842589775083,327,10,0.007352449278805073,0.9157410224917157,10
78,0.9,372,0.8917112524257977,372.73403201771646,328,9,0.008288747574202282,0.7340320177164585,9
79,0.9,372,0.8967929787786678,376.15558233480147,333,7,0.003207021221332207,4.1555823348014655,4
80,0.9,372,0.8792868017353458,377.79548193013267,327,6,0.02071319826465423,5.7954819301326665,10
81,0.9,372,0.9022974980493621,374.63239540679365,334,8,0.002297498049362079,2.6323954067936484,3
82,0.9,372,0.8696218745524914,374.14609819383855,320,8,0.03037812544750862,2.1460981938385544,17
83,0.9,372,0.8967929787786678,376.15558233480147,333,7,0.003207021221332207,4.1555823348014655,4
84,0.9,372,0.9114717335802481,370.25960474902143,334,11,0.011471733580248111,1.7403952509785654,3
85,0.9,372,0.9272719367123323,375.3104784871534,345,8,0.0272719367123323,3.3104784871533752,8
86,0.9,372,0.9071615391071653,365.3641461715722,328,14,0.007161539107165327,6.635853828427798,9
87,0.9,372,0.9025569739351731,369.8438855195315,330,11,0.002556973935173068,2.1561144804684886,7
88,0.9,372,0.8565205343339279,372.14751407288674,313,9,0.04347946566607208,0.1475140728867359,24
89,0.9,372,0.896705990911027,367.94107252378666,326,12,0.003294009088973038,4.058927476213341,11
90,0.9,372,0.9247196020099516,370.9132851672284,340,11,0.024719602009951602,1.0867148327715768,3
91,0.9,372,0.8944634688442292,376.1273105106981,332,7,0.005536531155770796,4.127310510698123,5
92,0.9,372,0.896705990911027,367.94107252378666,326,12,0.003294009088973038,4.058927476213341,11
93,0.9,372,0.9055955769245091,368.407631722606,330,12,0.005595576924509071,3.592368277393973,7
94,0.9,372,0.9099446672985299,373.2740003350815,336,9,0.00994466729852983,1.274000335081496,1
95,0.9,372,0.8958223185241915,369.545431862361,327,11,0.004177681475808548,2.4545681376390007,10
96,0.9,372,0.8913075978918918,369.3538755237349,325,11,0.008692402108108177,2.646124476265072,12
97,0.9,372,0.8778108809379982,372.4185877413852,322,9,0.022189119062001827,0.4185877413851813,15
98,0.9,372,0.9017194989027632,371.41043826778326,331,10,0.001719498902763128,0.5895617322167368,6
99,0.9,372,0.8980720688485982,369.6435088153783,328,11,0.0019279311514017738,2.3564911846216887,9
